1
100 10000 9918
1 2 1 1000
1 2 1000 1
2 3 1 1000
2 3 1000 1
3 4 1 1000
3 4 1000 1
4 5 1 1000
4 5 1000 1
5 6 1 1000
5 6 1000 1
6 7 1 1000
6 7 1000 1
7 8 1 1000
7 8 1000 1
8 9 1 1000
8 9 1000 1
9 10 1 1000
9 10 2 999
9 10 3 998
9 10 4 997
9 10 5 996
9 10 6 995
9 10 7 994
9 10 8 993
9 10 9 992
9 10 10 991
9 10 11 990
9 10 12 989
9 10 13 988
9 10 14 987
9 10 15 986
9 10 16 985
9 10 17 984
9 10 18 983
9 10 19 982
9 10 20 981
9 10 21 980
9 10 22 979
9 10 23 978
9 10 24 977
9 10 25 976
9 10 26 975
9 10 27 974
9 10 28 973
9 10 29 972
9 10 30 971
9 10 31 970
9 10 32 969
9 10 33 968
9 10 34 967
9 10 35 966
9 10 36 965
9 10 37 964
9 10 38 963
9 10 39 962
9 10 40 961
9 10 41 960
9 10 42 959
9 10 43 958
9 10 44 957
9 10 45 956
9 10 46 955
9 10 47 954
9 10 48 953
9 10 49 952
9 10 50 951
9 10 51 950
9 10 52 949
9 10 53 948
9 10 54 947
9 10 55 946
9 10 56 945
9 10 57 944
9 10 58 943
9 10 59 942
9 10 60 941
9 10 61 940
9 10 62 939
9 10 63 938
9 10 64 937
9 10 65 936
9 10 66 935
9 10 67 934
9 10 68 933
9 10 69 932
9 10 70 931
9 10 71 930
9 10 72 929
9 10 73 928
9 10 74 927
9 10 75 926
9 10 76 925
9 10 77 924
9 10 78 923
9 10 79 922
9 10 80 921
9 10 81 920
9 10 82 919
9 10 83 918
9 10 84 917
9 10 85 916
9 10 86 915
9 10 87 914
9 10 88 913
9 10 89 912
9 10 90 911
9 10 91 910
9 10 92 909
9 10 93 908
9 10 94 907
9 10 95 906
9 10 96 905
9 10 97 904
9 10 98 903
9 10 99 902
9 10 100 901
9 10 101 900
9 10 102 899
9 10 103 898
9 10 104 897
9 10 105 896
9 10 106 895
9 10 107 894
9 10 108 893
9 10 109 892
9 10 110 891
9 10 111 890
9 10 112 889
9 10 113 888
9 10 114 887
9 10 115 886
9 10 116 885
9 10 117 884
9 10 118 883
9 10 119 882
9 10 120 881
9 10 121 880
9 10 122 879
9 10 123 878
9 10 124 877
9 10 125 876
9 10 126 875
9 10 127 874
9 10 128 873
9 10 129 872
9 10 130 871
9 10 131 870
9 10 132 869
9 10 133 868
9 10 134 867
9 10 135 866
9 10 136 865
9 10 137 864
9 10 138 863
9 10 139 862
9 10 140 861
9 10 141 860
9 10 142 859
9 10 143 858
9 10 144 857
9 10 145 856
9 10 146 855
9 10 147 854
9 10 148 853
9 10 149 852
9 10 150 851
9 10 151 850
9 10 152 849
9 10 153 848
9 10 154 847
9 10 155 846
9 10 156 845
9 10 157 844
9 10 158 843
9 10 159 842
9 10 160 841
9 10 161 840
9 10 162 839
9 10 163 838
